"sep=,"
"received_message","pattern_matching","reply_message","multiple_replies","multiple_reply_delay","multiple_reply_delay_max","recipients","contacts","ignored_contacts","reply_delay","reply_delay_max","specific_times","monday","tuesday","wednesday","thursday","friday","saturday","sunday","pause_type","pause_value","disabled","subrule_of","go_to_rule","req_screen_off","req_charging","req_silent","req_do_not_disturb","req_car_mode","prev_rule_timeout","priority_alert"
"*","none","Hay %name% selamat datang di whatsapp *al azery*<#>ada yang bisa saya bantu?<#>kirim *--help* menampilkan menu!<#>kirim *hadis* populer.<#>kirim *license* lihat peraturan.","all","","","c","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"assalamualaikum","similar","waalaikumsalam wr.b<#>ada yang bisa saya bantu ?","all","","","c","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"help//-help//--help","normal","*help*\n\n1. bantuan\n2. INFO\n3. support\n4. all\n\nterima kasih !","single","","","c","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"support//suport//supot//supor//--support//-support","normal","*SUPPORT*\n\n1 .website = https://alazery.xyz/\n2.portfolio = https://alazery.github.io/\n3. youtube = https://youtube.com/channel/UC16n8fGnSDxVLEj82YBZNLg\n4.instagram = https://www.instagram.com/alazery.id\n5.facebook = https://www.facebook.com/al.azery\n6.twitter = https://www.twitter.com/alazery1\n7. info = https://info.alazery.xyz/\n8. profil = https://alazery.github.io/profile\n9. telegram = https://t.me/alazery\n\n\n\nterima kasih!","single","","","c","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"bantuan//1//bntn//#bantuan//--bantuan","normal","*bantuan*\n\n1. jika anda tidak bisa chat saya berarti saya lagi tidak memegang hp.\n\n2. jika anda butuh bantuan cepat telepon saya.\n\nterima kasih!","single","","","c","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"all//semua//4//#all//--all//-all","normal","*all*\n\n-- pantun\n-- puisi\n-- katailham\n-- alquran\n-- hadis\n-- jam\n-- gabut\n-- do'a\n\nterima kasih!","single","","","c","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"//pantun//--pantun//-pantun","normal","*pantun*\n\n-- pantun jenaka\n-- pantun agama\n-- pantun cinta \n-- pantun gombal","single","","","c","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"katailham//kata ilham//--katailham//-katailham//","normal","Dia cuman bercanda, harusnya kamu ketawa, bukan malah jatuh cinta – kata ilham.<#>Sesuatu akan terasa berharga jika sudah kehilangan – kata ilham.<#>Jangan pernah mengeluh ketika kopimu dingin, ia pernah hangat, namun kau diamkan – kata ilham.<#>Jangan jadi pelangi untuk orang yang buta warna – kata ilham.","random","","","c","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"alquran//quran//--quran","normal","╔═══════════════╡\n║╭──❉ *AL QURAN* ❉─────\n║│➸ *Juz1:* http://j.mp/2b8SiNO\n║│➸ *Juz2:* http://j.mp/2b8RJmQ\n║│➸ *Juz3:* http://j.mp/2bFSrtF\n║│➸ *Juz4:* http://j.mp/2b8SXi3\n║│➸ *Juz5:* http://j.mp/2b8RZm3\n║│➸ *Juz6:* http://j.mp/28MBohs\n║│➸ *Juz7:* http://j.mp/2bFRIZC\n║│➸ *Juz8:* http://j.mp/2bufF7o\n║│➸ *Juz9:* http://j.mp/2byr1bu\n║│➸ *Juz10:* http://j.mp/2bHfyUH\n║│➸ *Juz11:* http://j.mp/2bHf80y\n║│➸ *Juz12:* http://j.mp/2bWnTby\n║│➸ *Juz13:* http://j.mp/2bFTiKQ\n║│➸ *Juz14:* http://j.mp/2b8SUTA\n║│➸ *Juz15:* http://j.mp/2bFRQIM\n║│➸ *Juz16:* http://j.mp/2b8SegG\n║│➸ *Juz17:* http://j.mp/2brHsFz\n║│➸ *Juz18:* http://j.mp/2b8SCfc\n║│➸ *Juz19:* http://j.mp/2bFSq95\n║│➸ *Juz20:* http://j.mp/2brI1zc\n║│➸ *Juz21:* http://j.mp/2b8VcBO\n║│➸ *Juz22:* http://j.mp/2bFRxNP\n║│➸ *Juz23:* http://j.mp/2brItxm\n║│➸ *Juz24:* http://j.mp/2brHKw5\n║│➸ *Juz25:* http://j.mp/2brImlf\n║│➸ *Juz26* http://j.mp/2bFRHF2\n║│➸ *Juz27:* http://j.mp/2bFRXno\n║│➸ *Juz28:* http://j.mp/2brI3ai\n║│➸ *Juz29:* http://j.mp/2bFRyBF\n║│➸ *Juz30:* http://j.mp/2bFREcc\n║╰────AL AZERY ─────\n╚═══════════════╡","single","","","c","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"hadis//--hadis//-hadis","normal","""Utlubul ilma minal mahdi ilal lahdi.""\n\nArtinya: “Tuntutlah ilmu dari buaian sampai ke liang lahat.”\n\n""Tolabul ilmi faridhotun ala kulli muslimin wa Muslimah.""<#>""Innamal a’malu binniyat.""\n\nArtinya: “Sesungguhnya amal itu tergantung niatnya.”<#>""Man laa yarham laa yurham.""\n\nArtinya: “Barang siapa tidak menyayangi, tidak akan disayangi.”<#>""Atthohuru syatrul iman.""\n\nArtinya: “Kebersihan itu sebagian dari iman.”<#>""Kullu ma’rufin sodaqoh.""\n\nArtinya: “Setiap kebaikan adalah sedekah,”<#>""Addinu nashihah""\n\nArtinya: “Agama adalah nasehat.”<#>""Al mahiru bil qur’ani ma’as safarotil qiromil baroroh.""\n\nArtinya: “Orang yang pintar membaca Alquran akan tinggal bersama Jibril.”<#>""Al jannatu tahta aqdamil ummahat.""\n\nArtinya: “Surga itu ada dibawah telapak kaki Ibu.""<#>""Tabassumuka fi wajhi akhika sodaqoh.""\n\nArtinya: “Senyum engkau dihadapan saudaramu adalah sedekah.”<#>""Laa yu’minu ahadukum hatta yuhibba liakhihi maa yuhibba linafsih.""\n\nArtinya: “Tidak sempurna iman seseorang, sehingga dia mencintai saudaranya seperti mencintai dirinya sendiri.”<#>""Laa yadkhulul jannatu qoo tiurrahim.""\n\nArtinya: “Tidak masuk surga pemutus silaturrahim.”<#>""Al muslimu akhul muslim.""\n\nArtinya: “Muslim itu saudara bagi muslim lainnya.”<#>""Anta wa maaluka li abiika.""\n\nArtinya: “Kamu dan hartamu milik ayahmu.”<#>""Al islaamu ya’lu wa la yu’la.""\n\nArtinya: “Islam itu tinggi dan tidak ada yang lebih tinggi darinya.”","random","","","c","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"puisi//--puisi","normal","*jarum jam*\n\nJarum jam masih berdenting\n\nAku terdiam tak sanggup bergeming\n\nBerdiri ataukah kembali terbaring\n\nBagaikan kayu yang sudah kering\n\n \n\nJarum jam masih berdenting\n\nAku masih terdiam berbaring\n\nMeratapi nasib yang demikian menggiring\n\nMenggiringku ke pusatnya, hingga kepala ini pusing\n\n \n\nJarum jam masih berdenting\n\nAku memberanikan diri untuk berontak\n\nAku tak mau lagi terdiam berbaring\n\nKarena aku makhluk yang berotak<#>Derita\n\nOleh: Sarah Andriani Saputri\n\n \n\nTak tahu sampai kapan\n\nJalan yang ku tempuh ini sampai di ujung\n\n \n\nLelah... Aku merasa lelah\n\nDengan jalan yang aku tapaki\n\nMungkin memang harus ku kemudikan dengan baik\n\nAgar sampai di tujuan sesuai keinginan\n\n \n\nTapi, bisa kah diri ku?\n\nBisakah kemudi itu berkolaborasi dengan pikiran ku ini?\n\nAtaukah kemudi itu yang bisa membawa ku ke jalan yang benar?\n\n \n\nTuhan... Ada kah seseorang yang Kau siapkan untuk ku\n\nUntuk bersama menopang beban yang ku pikul ini\n\nAgar mau ku bagi kesedihan ku\n\nMau ku bagi derita ku\n\n \n\nTak tahu apa lagi yang bisa ku lakukan\n\nAku\n\nWanita yang penuh dosa\n\nYang berharap Kau mau menunjukkan\n\nKuasa-Mu itu untuk ku\n\n <#>Kisah Perjuanganku\n\nSejak awal kumemulai mengenal dunia\n\nSejak itu juga kumemulai memahami arti hidup\n\nBanyak kisah yang telah aku lewati\n\nDemi mengejar impian\n\n \n\nSemua kisah itu tak dapat ku lupakan dari memoriku\n\nTentang perjuangan kehidupanku untuk meraih impianku\n\nWalau banyak rintangan yang harus dihadapi\n\nNamun bukan itu yang membuatku harus menyerah\n\n \n\nKarna kehidupan ini butuh kerja keras dan pengorbanan yang luar biasa\n\nMaka itu tak ada kata menyerah sebelum mencapai impian yang penuh harapan","random","","","c","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"jam//waktu//jam//wib","normal","sekarang jam %hour_of_day%","single","","","c","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"doa//do'a","normal","cari di buku","single","","","c","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"gabut//--gabut//","normal","hay %name% anda gabut tenang karena itu bukan urusan saya.","single","","","c","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"*","none","kirim *hadis* populer.","single","","","g","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"//info//--info//-info","normal","*INFO*\n\nSelamat datang di whatsapp *AL AZERY* di sini saya akan memberikan peraturan chat ke saya\n\n1. tidak boleh toxis\n2. tidak boleh berkata kotor\n3. tidak boleh menyepam \n4. tidak boleh spam telepon (blok)\n5. tidak boleh mengirim file jahat\n6. tidak boleh mengirim video porno\n7. tidak boleh mengirim foto yang tidak jelas\n8. tidak boleh mengirim link phising\n9. tidak boleh memanggil sayang\n10. tidak boleh apa lagi yaa \n\ndan itu saja peraturan nya, jangan di langgar jika di langgar blok otomatis\n\nTerima kasih saya *AL AZERY* mengucapkan assalamualaikum wr.b.","single","","","c","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"🎤pesan suara","none","kok pesan suara","single","","","c","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
